`id`,`district_id`,name_en,latitude,longitude
261,3,Pitamaruwa,7.106546,81.135882
262,3,Pitapola,6.803692,80.884474
263,3,Puhulpola,6.907145,80.931109
264,3,Rajagalatenna,7.5458,81.125
265,3,Ratkarawwa,6.8,80.9167
266,3,Ridimaliyadda,7.2333,81.1
267,3,Silmiyapura,6.912388,80.843988
268,3,Sirimalgoda,7.003857,81.073671
269,3,Siripura,7.2125,81.0583
270,3,Sorabora Colony,7.3583,81.1083
271,3,Soragune,6.8333,80.8778
272,3,Soranatota,7.0167,81.05
273,3,Taldena,7.0833,81.05
274,3,Timbirigaspitiya,7.0333,81.05
275,3,Uduhawara,6.94706,80.85877
276,3,Uraniya,7.237143,81.102818
277,3,Uva Karandagolla,6.8333,81.0667
278,3,Uva Mawelagama,6.7333,81.0167
279,3,Uva Tenna,6.8333,80.8778
280,3,Uva Tissapura,7.3,81.1167
281,3,Welimada,6.906059,80.913222
282,3,Werunketagoda,7.5458,81.125
283,3,Wewatta,7.337729,81.201255
284,3,Wineethagama,7.029,80.937
285,3,Yalagamuwa,7.047834,80.950541
286,3,Yalwela,7.2667,81.15
287,4,Addalaichenai,7.4833,81.75
288,4,Ampilanthurai,7.8597,81.4411
289,4,Araipattai,7.667705,81.725335
290,4,Ayithiyamalai,7.670934,81.574798
291,4,Bakiella,7.5083,81.7583
292,4,Batticaloa,7.7167,81.7
293,4,Cheddipalayam,7.575161,81.783189
294,4,Chenkaladi,7.7833,81.6
295,4,Eravur,7.768518,81.619817
296,4,Kaluwanchikudi,7.5167,81.7833
297,4,Kaluwankemy,7.8,81.5667
298,4,Kannankudah,7.675505,81.674125
299,4,Karadiyanaru,7.689478,81.531117
300,4,Kathiraveli,8.243933,81.360298
301,4,Kattankudi,7.675,81.73
302,4,Kiran,7.866841,81.529737
303,4,Kirankulam,7.615628,81.764245
304,4,Koddaikallar,7.6389,81.6639
305,4,Kokkaddichcholai,7.8597,81.4411
306,4,Kurukkalmadam,7.594069,81.77497
307,4,Mandur,7.482114,81.762407
308,4,Miravodai,7.9,81.5167
309,4,Murakottanchanai,7.8667,81.5333
310,4,Navagirinagar,7.525,81.725
311,4,Navatkadu,7.5833,81.7167
312,4,Oddamavadi,7.9167,81.5167
313,4,Palamunai,7.4833,81.75
314,4,Pankudavely,7.75,81.5667
315,4,Periyaporativu,7.536243,81.764557
316,4,Periyapullumalai,7.561255,81.47434
317,4,Pillaiyaradi,7.75,81.6333
318,4,Punanai,7.9667,81.3833
319,4,Thannamunai,7.76355,81.645852
320,4,Thettativu,7.5833,81.7833
321,4,Thikkodai,7.525269,81.684177
322,4,Thirupalugamam,7.525,81.725
323,4,Unnichchai,7.6167,81.55
324,4,Vakaneri,7.9167,81.4333
325,4,Vakarai,8.165968,81.415623
326,4,Valaichenai,7.7,81.6
327,4,Vantharumoolai,7.807445,81.591476
328,4,Vellavely,7.5,81.7333
329,5,Akarawita,6.95,80.1
330,5,Ambalangoda,6.77533,79.96413
331,5,Athurugiriya,6.873072,79.997214
332,5,Avissawella,6.955003,80.211692
333,5,Batawala,6.877924,80.051592
334,5,Battaramulla,6.900299,79.922136
335,5,Biyagama,6.9408,79.9889
336,5,Bope,6.8333,80.1167
337,5,Boralesgamuwa,6.8425,79.9006
338,5,Colombo 8,6.914722,79.877778
339,5,Dedigamuwa,6.9115,80.0622
340,5,Dehiwala,6.856387,79.865156
341,5,Deltara,6.7833,79.9167
342,5,Habarakada,6.882518,80.017704
343,5,Hanwella,6.905988,80.083333
344,5,Hiripitya,6.85,79.95
345,5,Hokandara,6.890237,79.969894
346,5,Homagama,6.85685,80.005384
347,5,Horagala,6.807635,80.066995
348,5,Kaduwela,6.930497,79.984817
349,5,Kaluaggala,6.9167,80.1
350,5,Kapugoda,6.9486,80.1
351,5,Kehelwatta,6.75,79.9167
352,5,Kiriwattuduwa,6.804157,80.009759
353,5,Kolonnawa,6.933035,79.888095
354,5,Kosgama,6.9333,80.1411
355,5,Madapatha,6.766824,79.930103
356,5,Maharagama,6.843401,79.932766
357,5,Malabe,6.901241,79.958072
358,5,Moratuwa,6.7733,79.8825
359,5,Mount Lavinia,6.838864,79.863141
360,5,Mullegama,6.887403,80.012959
361,5,Napawela,6.9531,80.2183
362,5,Nugegoda,6.877563,79.886231
363,5,Padukka,6.837834,80.090301
364,5,Pannipitiya,6.843999,79.944518
365,5,Piliyandala,6.7981,79.9264
366,5,Pitipana Homagama,6.8477,80.016
367,5,Polgasowita,6.7842,79.9811
368,5,Pugoda,6.9703,80.1222
369,5,Ranala,6.915253,80.032962
370,5,Siddamulla,6.815785,79.955978
